---code V3.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
disk3,7.91303,7.87202,0.000444242,0.739551,844.422,178575,6.00977,5.99877,7.99951,890.824,184734
Dir: 52
Finalising parallel run
disk0,8.02673,8.16009,0.000435828,0.711828,922.745,184691,6.16489,6.30886,8.13963,920.088,184053
disk1,7.96092,8.15872,0.000435875,0.712002,922.377,184674,6.09927,6.30721,8.08199,901.372,181540
disk2,7.98247,7.9975,0.00044116,0.732147,879.305,182469,6.08,6.11559,8.06772,907.659,186031
disk3,7.91235,7.8173,0.000445464,0.742779,829.209,176870,5.98633,5.94782,7.98042,887.388,184691
Dir: 54
Finalising parallel run
disk0,8.02268,8.11762,0.000437264,0.71718,911.404,184148,6.12495,6.2582,8.10187,910.81,183753
disk1,7.96497,8.13459,0.000436694,0.715042,915.935,184367,6.09652,6.27844,8.07861,902.052,182171
disk2,7.99071,8.03894,0.000439852,0.727094,890.396,183092,6.1103,6.16436,8.09201,912.83,185838
disk3,7.91188,7.86041,0.000444508,0.740236,841.194,178214,5.99918,5.98796,7.99142,889.128,184564
