---code V3.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
disk3,7.91196,7.95545,0.000442241,0.734628,867.63,181167,5.98374,6.05776,8.0683,909.788,186667
Dir: 52
Finalising parallel run
disk0,8.02802,8.12602,0.000436989,0.716122,913.661,184257,6.12295,6.24921,8.19257,940.646,187578
disk1,7.95796,7.96024,0.000442121,0.734346,868.961,181315,6.01551,6.0622,8.09824,919.993,188003
disk2,7.98152,7.92228,0.000443062,0.736585,858.412,180138,6.03556,6.02695,8.11908,929.093,189549
disk3,7.91115,7.86982,0.000444305,0.739681,843.832,178507,5.95604,5.97821,8.0455,906.828,186927
Dir: 54
Finalising parallel run
disk0,8.02385,8.0793,0.000438543,0.722008,901.186,183641,6.0809,6.19358,8.15312,930.93,187338
disk1,7.96242,7.92464,0.000443004,0.736446,859.069,180211,6.01523,6.02914,8.09708,921.558,188496
disk2,7.98974,7.9696,0.000441884,0.733794,871.561,181605,6.06157,6.0709,8.13939,933.267,189754
disk3,7.9107,7.9155,0.000443226,0.736985,856.528,179927,5.96946,6.02065,8.05659,908.353,186758
