"nut":
"k": turbulencia
"p": presion
"epsilon"
"U:0" = U_x (paralelo al viento)
"U:1" = U_y
"U:2" = U_z
"Points:0" = coordenada_x
"Points:1" = coordenada_y
"Points:2" = coordenada_z (vale siempre lo mismo ya estos son datos para un plano en z)

"nut","k","p","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0074505,0.041145,0.18627,0.023645,6.4386,-0.0017419,-0.0060222,7.2605,1.4248,0.817
0.015258,0.38297,0.18862,0.88486,7.1258,-0.023556,-0.0014848,7.2605,1.6838,0.817
0.022047,0.62305,0.19443,1.589,8.4001,-0.04945,0.0003722,7.2605,1.8133,0.817
0.012815,0.36258,0.2023,0.93063,9.8088,-0.034676,0.00195,7.2605,1.9429,0.817
0.0022755,0.046685,0.20605,0.090879,10.5,-0.016413,0.0024317,7.2605,2.0724,0.817
0.001431,0.0036941,0.20527,0.0020463,10.568,-0.017008,0.0023412,7.2605,2.2019,0.817
0.0025966,0.0021096,0.20876,0.00016399,10.56,-0.011991,0.0020847,7.2605,2.3314,0.817
0.0016753,0.0024973,0.21196,0.0011034,10.594,-0.011173,0.0020251,7.2605,2.461,0.817
0.0020078,0.032204,0.21199,0.048021,10.47,-0.015032,0.0017727,7.2605,2.5905,0.817
0.00040101,0.0613,0.21173,0.093943,0,0,0,7.2605,2.72,0.817
0.0070546,0.095479,0.18057,0.14192,6.5334,-0.0053958,-0.0039673,7.1308,1.5543,0.817
0.0077077,0.040402,0.18139,0.021904,6.4376,-0.0017813,-0.0059186,7.1308,1.4248,0.817
0.014822,0.3728,0.1839,0.86482,7.0958,-0.022596,-0.0014405,7.1308,1.6838,0.817
0.021673,0.61651,0.19019,1.5832,8.3819,-0.049447,0.00039726,7.1308,1.8133,0.817
0.012585,0.3593,0.19912,0.9307,9.8154,-0.034599,0.0019896,7.1308,1.9429,0.817
0.0021848,0.044603,0.20358,0.086872,10.506,-0.01599,0.0024715,7.1308,2.0724,0.817
0.0014496,0.0036497,0.2034,0.0019494,10.568,-0.016858,0.0023878,7.1308,2.2019,0.817
0.0026669,0.0021079,0.20755,0.00016046,10.56,-0.01165,0.0021349,7.1308,2.3314,0.817
0.0017348,0.0024223,0.21112,0.00099067,10.591,-0.010998,0.0020751,7.1308,2.461,0.817
0.0019667,0.03064,0.21145,0.044524,10.473,-0.014675,0.0018272,7.1308,2.5905,0.817
0.00039193,0.058317,0.21193,0.08717,0,0,0,7.1308,2.72,0.817
0.0069948,0.090279,0.17462,0.13075,6.5231,-0.0048483,-0.0038585,7.0012,1.5543,0.817
0.0079877,0.039741,0.17517,0.020304,6.4371,-0.0018131,-0.0057972,7.0012,1.4248,0.817
0.01439,0.36231,0.17795,0.84322,7.0657,-0.021573,-0.0013812,7.0012,1.6838,0.817
0.021284,0.60913,0.18483,1.5742,8.3631,-0.049356,0.00043826,7.0012,1.8133,0.817
